filter,Date,sampledFlow,sampledDatePC,sampledDateFlow,flow,turbidity,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,difference,runID,runDifference,filterRun,filterRunDate
9,2021-08-05T03:30:00Z,1.197785,2021-08-05T03:30:00Z,2021-08-05T03:30:00Z,1,0.04395605,68,5,2,0,0,0,0,0,0,15,1,0,9-1,9 - 08/05
9,2021-08-05T03:45:00Z,1.204431,2021-08-05T03:45:00Z,2021-08-05T03:45:00Z,1,0.04395605,74,5,1,0,0,0,0,0,0,75,1,0.25,9-1,9 - 08/05
9,2021-08-05T05:00:00Z,1.194831,2021-08-05T05:00:00Z,2021-08-05T05:00:00Z,1,0.04517705,73,5,2,0,0,0,0,0,0,15,1,1.5,9-1,9 - 08/05
9,2021-08-05T05:15:00Z,1.197046,2021-08-05T05:15:00Z,2021-08-05T05:15:00Z,1,0.04517705,74,5,2,1,0,0,0,0,0,15,1,1.75,9-1,9 - 08/05
9,2021-08-05T05:30:00Z,1.195569,2021-08-05T05:30:00Z,2021-08-05T05:30:00Z,1,0.04395605,71,5,2,0,0,0,0,0,0,15,1,2,9-1,9 - 08/05
9,2021-08-05T05:45:00Z,1.197785,2021-08-05T05:45:00Z,2021-08-05T05:45:00Z,1,0.04395605,70,5,2,0,0,0,0,0,0,75,1,2.25,9-1,9 - 08/05
9,2021-08-05T07:00:00Z,1.187446,2021-08-05T07:00:00Z,2021-08-05T07:00:00Z,1,0.04517705,75,6,2,0,0,0,0,0,0,15,1,3.5,9-1,9 - 08/05
9,2021-08-05T07:15:00Z,1.191877,2021-08-05T07:15:00Z,2021-08-05T07:15:00Z,1,0.04517705,72,5,2,0,0,0,0,0,0,15,1,3.75,9-1,9 - 08/05
9,2021-08-05T07:30:00Z,1.186708,2021-08-05T07:30:00Z,2021-08-05T07:30:00Z,1,0.04395605,70,5,1,0,0,0,0,0,0,15,1,4,9-1,9 - 08/05
9,2021-08-05T07:45:00Z,1.183754,2021-08-05T07:45:00Z,2021-08-05T07:45:00Z,1,0.04517705,72,6,2,0,0,0,0,0,0,75,1,4.25,9-1,9 - 08/05
9,2021-08-05T09:00:00Z,1.198523,2021-08-05T09:00:00Z,2021-08-05T09:00:00Z,1,0.04395605,70,4,2,0,0,0,0,0,0,15,1,5.5,9-1,9 - 08/05
9,2021-08-05T09:15:00Z,1.198523,2021-08-05T09:15:00Z,2021-08-05T09:15:00Z,1,0.04639805,73,5,2,1,0,0,0,0,0,15,1,5.75,9-1,9 - 08/05
9,2021-08-05T09:30:00Z,1.197046,2021-08-05T09:30:00Z,2021-08-05T09:30:00Z,1,0.04517705,70,6,2,0,0,0,0,0,0,15,1,6,9-1,9 - 08/05
9,2021-08-05T09:45:00Z,1.198523,2021-08-05T09:45:00Z,2021-08-05T09:45:00Z,1,0.04517705,73,5,2,0,0,0,0,0,0,75,1,6.25,9-1,9 - 08/05
9,2021-08-05T11:00:00Z,1.187446,2021-08-05T11:00:00Z,2021-08-05T11:00:00Z,1,0.04517705,74,6,3,0,0,0,0,0,0,15,1,7.5,9-1,9 - 08/05
9,2021-08-05T11:15:00Z,1.186708,2021-08-05T11:20:00Z,2021-08-05T11:15:00Z,1,0.04517705,72,6,2,0,0,0,0,0,0,45,1,7.75,9-1,9 - 08/05
9,2021-08-05T12:00:00Z,1.1808,2021-08-05T11:57:00Z,2021-08-05T12:00:00Z,1,0.04517705,76,5,1,0,0,0,0,0,0,75,1,8.5,9-1,9 - 08/05
9,2021-08-05T13:15:00Z,1.213292,2021-08-05T13:12:00Z,2021-08-05T13:15:00Z,1,0.04639805,71,6,2,0,0,0,0,0,0,15,1,9.75,9-1,9 - 08/05
9,2021-08-05T13:30:00Z,1.210338,2021-08-05T13:27:00Z,2021-08-05T13:30:00Z,1,0.04639805,74,6,3,0,0,0,0,0,0,15,1,10,9-1,9 - 08/05
9,2021-08-05T13:45:00Z,1.210338,2021-08-05T13:42:00Z,2021-08-05T13:45:00Z,1,0.04639805,70,7,3,1,0,0,0,0,0,15,1,10.25,9-1,9 - 08/05
9,2021-08-05T14:00:00Z,1.2096,2021-08-05T13:57:00Z,2021-08-05T14:00:00Z,1,0.04639805,72,7,3,1,0,0,0,0,0,75,1,10.5,9-1,9 - 08/05
9,2021-08-05T15:15:00Z,1.2,2021-08-05T15:12:00Z,2021-08-05T15:15:00Z,1,0.04517705,72,6,2,0,0,0,0,0,0,15,1,11.75,9-1,9 - 08/05
9,2021-08-05T15:30:00Z,1.200738,2021-08-05T15:27:00Z,2021-08-05T15:30:00Z,1,0.04639805,72,7,1,0,0,0,0,0,0,15,1,12,9-1,9 - 08/05
9,2021-08-05T15:45:00Z,1.201477,2021-08-05T15:42:00Z,2021-08-05T15:45:00Z,1,0.04639805,72,7,2,0,0,0,0,0,0,15,1,12.25,9-1,9 - 08/05
9,2021-08-05T16:00:00Z,1.204431,2021-08-05T15:57:00Z,2021-08-05T16:00:00Z,1,0.04639805,70,7,2,0,0,0,0,0,0,75,1,12.5,9-1,9 - 08/05
9,2021-08-05T17:15:00Z,1.198523,2021-08-05T17:12:00Z,2021-08-05T17:15:00Z,1,0.04639805,69,6,2,0,0,0,0,0,0,15,1,13.75,9-1,9 - 08/05
9,2021-08-05T17:30:00Z,0.9836308,2021-08-05T17:27:00Z,2021-08-05T17:30:00Z,1,0.04639805,66,6,2,0,0,0,0,0,0,15,1,14,9-1,9 - 08/05
9,2021-08-05T17:45:00Z,0.9821538,2021-08-05T17:42:00Z,2021-08-05T17:45:00Z,1,0.04884005,67,6,2,0,0,0,0,0,0,15,1,14.25,9-1,9 - 08/05
9,2021-08-05T18:00:00Z,0.9799384,2021-08-05T17:57:00Z,2021-08-05T18:00:00Z,1,0.04884005,65,6,2,0,0,0,0,0,0,75,1,14.5,9-1,9 - 08/05
9,2021-08-05T19:15:00Z,0.9961846,2021-08-05T19:12:00Z,2021-08-05T19:15:00Z,1,0.04884005,70,6,2,0,0,0,0,0,0,15,1,15.75,9-1,9 - 08/05
9,2021-08-05T19:30:00Z,0.9954461,2021-08-05T19:27:00Z,2021-08-05T19:30:00Z,1,0.04884005,71,6,1,0,0,0,0,0,0,15,1,16,9-1,9 - 08/05
9,2021-08-05T19:45:00Z,0.9932307,2021-08-05T19:42:00Z,2021-08-05T19:45:00Z,1,0.04884005,64,7,2,0,0,0,0,0,0,15,1,16.25,9-1,9 - 08/05
9,2021-08-05T20:00:00Z,0.9976615,2021-08-05T19:57:00Z,2021-08-05T20:00:00Z,1,0.04884005,66,6,2,0,0,0,0,0,0,75,1,16.5,9-1,9 - 08/05
9,2021-08-05T21:15:00Z,1.108431,2021-08-05T21:12:00Z,2021-08-05T21:15:00Z,1,0.04761905,66,6,2,1,0,0,0,0,0,15,1,17.75,9-1,9 - 08/05
9,2021-08-05T21:30:00Z,1.112123,2021-08-05T21:27:00Z,2021-08-05T21:30:00Z,1,0.04639805,64,7,1,0,0,0,0,0,0,15,1,18,9-1,9 - 08/05
9,2021-08-05T21:45:00Z,1.193354,2021-08-05T21:42:00Z,2021-08-05T21:45:00Z,1,0.04639805,62,6,2,0,0,0,0,0,0,15,1,18.25,9-1,9 - 08/05
9,2021-08-05T22:00:00Z,1.198523,2021-08-05T21:57:00Z,2021-08-05T22:00:00Z,1,0.04639805,64,7,2,0,0,0,0,0,0,75,1,18.5,9-1,9 - 08/05
9,2021-08-05T23:15:00Z,1.2177230000000001,2021-08-05T23:12:00Z,2021-08-05T23:15:00Z,1,0.04639805,62,7,2,1,0,0,0,0,0,15,1,19.75,9-1,9 - 08/05
9,2021-08-05T23:30:00Z,1.208862,2021-08-05T23:27:00Z,2021-08-05T23:30:00Z,1,0.04639805,67,6,2,0,0,0,0,0,0,15,1,20,9-1,9 - 08/05
9,2021-08-05T23:45:00Z,1.2096,2021-08-05T23:42:00Z,2021-08-05T23:45:00Z,1,0.04639805,64,7,2,0,0,0,0,0,0,15,1,20.25,9-1,9 - 08/05
9,2021-08-06T00:00:00Z,1.205908,2021-08-05T23:57:00Z,2021-08-06T00:00:00Z,1,0.04761905,64,7,1,0,0,0,0,0,0,75,1,20.5,9-1,9 - 08/05
9,2021-08-06T01:15:00Z,1.200738,2021-08-06T01:13:00Z,2021-08-06T01:15:00Z,1,0.04639805,64,7,2,0,0,0,0,0,0,15,1,21.75,9-1,9 - 08/05
9,2021-08-06T01:30:00Z,1.205908,2021-08-06T01:28:00Z,2021-08-06T01:30:00Z,1,0.04761905,66,4,1,1,0,0,0,0,0,15,1,22,9-1,9 - 08/05
9,2021-08-06T01:45:00Z,1.196308,2021-08-06T01:43:00Z,2021-08-06T01:45:00Z,1,0.04639805,58,3,1,0,0,0,0,0,0,15,1,22.25,9-1,9 - 08/05
9,2021-08-06T02:00:00Z,1.201477,2021-08-06T01:58:00Z,2021-08-06T02:00:00Z,1,0.04639805,57,3,1,1,0,0,0,0,0,75,1,22.5,9-1,9 - 08/05
9,2021-08-06T03:15:00Z,1.193354,2021-08-06T03:13:00Z,2021-08-06T03:15:00Z,1,0.04761905,62,7,2,1,0,0,0,0,0,15,1,23.75,9-1,9 - 08/05
9,2021-08-06T03:30:00Z,1.196308,2021-08-06T03:28:00Z,2021-08-06T03:30:00Z,1,0.04639805,49,3,1,1,0,0,0,0,0,15,1,24,9-1,9 - 08/05
9,2021-08-06T03:45:00Z,1.202215,2021-08-06T03:43:00Z,2021-08-06T03:45:00Z,1,0.04639805,45,3,1,1,1,0,0,0,0,15,1,24.25,9-1,9 - 08/05
9,2021-08-06T04:00:00Z,1.188923,2021-08-06T03:58:00Z,2021-08-06T04:00:00Z,1,0.04639805,46,2,1,1,0,0,0,0,0,75,1,24.5,9-1,9 - 08/05
9,2021-08-06T05:15:00Z,1.183754,2021-08-06T05:13:00Z,2021-08-06T05:15:00Z,1,0.04761905,63,7,2,1,0,0,0,0,0,15,1,25.75,9-1,9 - 08/05
9,2021-08-06T05:30:00Z,1.185969,2021-08-06T05:28:00Z,2021-08-06T05:30:00Z,1,0.04761905,43,3,2,1,0,0,0,0,0,15,1,26,9-1,9 - 08/05
